Blog	four	second	here	until	example	want	how	wrong	series	re	service	saying	best	much	life	things	had	has	right	old	people	support	happy	later	time	leave	team	love	working	such	data	so	years	didn	internet	million	one	vote	open	city	future	say	take	going	where	former	being	around	world	power	her	october	am	an	as	at	tv	th	case	small	past	hours	more	company	its	always	found	really	try	also	microsoft	set	see	whole	using	couple	d	be	by	anything	clinton	into	link	line	up	us	ago	having	video	let	great	makes	next	process	doing	could	system	should	email	ve	off	less	have	become	does	problem	worth	told	work	after	then	them	they	network	created	another	what	do	away	we	com	easy	night	post	months	way	was	together	change	live	can	use	still	half	not	now	year	care	than	online	only	between	these	media	real	read	early	t	business	your	start	lot	trying	since	month	very	family	site	help	actually	event	put	american	pretty	during	x	won	probably	both	else	look	while	used	game	some	step	doesn	e	go	started	special	times	need	based	course	she	i	well	page	twitter	home	he	star	friends	even	new	ever	never	call	tell	give	before	better	went	isn	don	m	stop	bad	said	against	three	if	make	left	just	deal	down	me	did	run	making	may	man	maybe	talk	nbsp	morning	earlier	thing	think	first	little	hillary	were	especially	show	enough	black	get	those	different	same	running	money	again	u	public	free	two	needs	through	good	everyone	house	hard	done	least	part	most	find	point	spent	big	bit	google	often	back	links	ll	instead	day	announced	thought	like	about	buy	but	under	every	would	my	keep	end	over	each	got	days	already	top	too	took	though	watch	full	news	been	social	election	everything	why	donald	no	when	cool	level	says	today	trump	name	place	any	sure	state	come	someone	week	without	blog	or	there	all	thursday	woman	version	short	might	number	feel	story	nothing	his	him	art	are	recently	long	called	once	car	apple	app	few	something	many	our	out	their	which	who	words	available	last	will	other	know	because	getting	own	made	whether	book
Latest from Crooks and Liars	0	0	1	0	0	2	2	0	0	3	0	2	0	0	0	1	0	5	3	0	2	1	1	0	0	0	0	0	0	0	0	5	0	1	0	1	4	0	2	0	0	2	0	7	1	0	0	2	0	0	4	3	2	1	4	10	0	0	0	0	0	0	5	0	0	0	1	0	0	1	0	0	1	0	0	0	0	11	6	0	9	2	0	1	3	2	0	2	3	0	0	0	0	0	1	2	0	4	0	1	5	0	3	1	1	1	0	1	0	5	1	2	3	0	0	1	8	4	0	7	5	1	1	3	1	2	9	0	1	0	1	0	2	1	7	2	0	0	1	0	3	0	1	1	0	4	0	2	0	1	0	1	0	1	0	0	1	1	1	1	0	0	3	1	3	1	0	0	0	2	0	2	0	0	4	0	0	0	3	0	0	2	0	0	0	3	15	0	0	5	0	13	0	0	1	6	0	1	1	0	2	0	2	2	0	0	4	0	1	7	0	0	6	1	0	6	0	0	0	0	0	0	3	1	0	1	0	0	0	1	0	0	0	6	2	1	1	0	0	1	0	0	0	1	0	0	2	1	1	0	1	2	0	2	1	0	2	0	1	0	2	0	0	2	0	0	0	1	0	0	1	2	2	1	3	8	0	7	1	0	5	3	0	0	1	0	2	0	1	0	0	0	1	0	0	3	0	1	8	0	2	6	2	2	1	0	0	3	16	0	0	1	2	1	1	2	0	0	1	1	5	4	1	0	0	0	1	0	0	3	0	6	2	0	10	0	0	0	0	0	0	0	0	0	0	2	4	2	1	4	0	1	0	6	0	1	4	0	0	0	1	0
The Write News	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	17	0	3	0	0	0	0	1	2	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Kotaku	0	0	1	0	0	0	0	1	3	1	0	0	5	1	1	0	1	4	2	0	1	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	6	0	0	2	2	0	1	0	0	0	0	0	1	0	2	0	0	5	4	8	1	2	0	0	1	0	27	1	2	0	0	0	0	3	1	0	0	0	1	1	1	8	3	0	0	2	0	0	0	4	0	0	3	0	1	0	1	0	0	0	0	0	0	1	2	0	4	0	0	0	0	0	1	0	0	2	2	0	0	0	2	0	0	1	2	0	0	0	0	1	4	0	0	2	8	1	1	0	2	6	1	0	1	0	0	0	1	0	0	23	1	5	0	1	0	0	0	0	0	3	1	0	0	0	0	1	1	2	1	0	0	0	1	0	0	0	1	5	5	0	2	2	0	1	1	0	2	1	0	0	6	1	2	1	0	2	0	1	1	5	2	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	4	0	1	3	1	1	1	0	2	0	0	0	0	0	9	0	0	1	2	5	3	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1	4	3	0	5	1	0	1	1	0	0	2	0	5	0	0	1	3	0	1	0	1	0	5	0	0	2	2	0	2	0	1	0	2	6	0	0	0	2	2	0	1	0	0	0	0	3	2	5	1	0	0	2	2	0	0	0	0	4	0	2	5	0	1	0	0	0	2	0	0	0	0	5	9	1	1	7	0	1	0	5	0	0	2	6	0	1	0	0
Derek Powazek	0	0	6	0	0	1	7	1	0	7	0	0	1	1	5	1	3	5	4	2	2	0	4	1	4	0	0	1	0	0	0	7	5	1	1	0	13	3	1	0	0	3	1	4	0	0	0	1	3	0	9	0	3	5	10	7	0	0	0	2	0	0	6	1	1	4	1	2	1	2	0	0	3	0	1	4	2	7	5	1	0	4	2	0	11	4	2	0	0	1	5	0	1	1	1	1	0	1	0	11	1	1	3	0	0	0	0	0	3	4	7	2	6	1	0	3	9	7	1	7	1	2	2	3	2	0	13	1	1	2	8	0	4	0	6	10	4	0	2	2	1	4	2	2	0	0	1	10	1	6	0	1	0	1	0	1	1	2	0	0	0	1	0	0	0	0	0	1	2	1	0	1	1	0	3	0	0	0	4	2	2	1	1	0	1	7	69	2	1	1	0	5	0	2	1	5	1	3	1	0	0	1	0	3	0	4	12	0	3	3	1	4	9	1	1	11	1	2	15	4	0	0	0	1	1	3	0	2	0	4	4	3	7	0	2	2	3	5	1	6	1	0	3	0	3	2	0	0	0	9	0	1	1	1	0	3	1	0	2	2	1	0	3	1	0	0	2	2	0	4	0	2	1	1	9	9	1	14	1	3	0	22	0	0	5	1	1	4	1	2	2	3	0	1	1	1	8	0	0	2	1	0	2	11	2	0	0	2	0	0	0	0	1	0	3	0	3	0	1	5	7	10	0	2	0	1	1	1	5	3	0	3	2	0	11	0	1	0	2	1	0	0	5	8	1	3	9	4	2	1	0	1	7	5	3	6	3	2	2	2	0	6
Captain's Quarters	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	3	7	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	4	5	0	0	0	0	1	0	3	0	3	0	0	0	0	2	0	0	0	0	0	0	0	4	4	0	2	2	0	0	1	3	1	0	0	0	0	0	1	0	0	0	3	2	0	0	1	1	2	1	0	0	0	1	1	3	0	0	2	0	0	1	0	0	0	1	0	0	0	1	2	0	1	0	1	0	1	1	1	1	3	0	0	2	2	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	3	1	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	2	3	2	0	0	0	0	1	0	0	1	0	0	2	0	3	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	2	1	0	0	3	0	1	1	0	1	2	1	0	1	1	1	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	1	6	1	3	0	0	0	0	1	0	0	0	1	0	0	0	4	6	0	1	0	0	0	5	2	0	0	0	0	0	0	0
plasticbag.org	0	0	1	0	0	0	1	0	0	2	0	0	0	1	1	1	1	1	1	0	4	1	0	0	3	0	0	0	1	0	0	1	2	1	0	0	2	0	0	0	0	0	2	5	0	0	2	0	0	0	0	0	0	0	5	6	1	0	0	0	0	0	10	2	1	0	0	0	1	0	1	0	0	3	0	1	1	5	1	0	0	1	0	0	2	2	1	0	0	0	1	0	0	0	1	3	0	2	0	3	0	0	3	0	0	0	0	1	0	0	0	3	1	0	0	1	0	1	0	4	0	0	0	1	1	1	3	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	2	1	0	6	0	5	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	1	0	0	6	0	1	0	0	0	0	0	1	0	0	0	16	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	6	1	0	1	0	0	2	4	0	1	0	0	0	3	0	1	2	0	0	1	0	0	1	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	2	6	0	0	0	0	0	2	0	1	0	1	0	0	4	0	0	1	0	0	1	0	1	1	2	0	1	0	3	1	0	0	3	2	0	2	0	1	0	1	0	0
blog maverick	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	6	0	0	1	0	0	0	0	0	0	1	0	3	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	3	1	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	1	0	0	1	4	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	6	0	0	0	2	0	0	0	0	3	2	0	0	0	2	4	0	8	3	0	0	0	0	0	3	0	0	2	2	1	1	0	2	1	3	0	3	0	0	0	0	2	2	0	0	4	0	1	0	1	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	1	0	0	0	11	1	0	0	0	2	0	0	1	1	0	0	0	2	1	0	0	0	1	3	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	1	1	0	0	1	0	4	0	0	0	1	0	1	0	0	1	0	0	1	4	0	0	0	0	0	0	2	0	0	0	2	0	0	2	3	0	0	1	1	4	4	0	0	2	0	1	1	0	0	0	2	0	1	1	2	2	1	1	1	1	1	2	1	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	4	3	2	0	0	2	1	0	0	0	0	1	0	0	0	3	1	4	0	0	0	3	0	0	1	0	3	2	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0
kottke.org	1	3	8	2	0	2	19	1	4	10	1	3	4	6	11	10	6	18	9	9	11	0	3	5	20	0	1	2	4	3	0	14	18	1	2	3	32	3	0	1	0	1	4	3	7	2	1	10	15	3	8	1	2	37	39	33	2	4	4	2	4	1	11	0	9	3	0	5	0	8	0	3	7	2	5	2	4	29	23	1	0	26	0	0	15	7	6	0	29	4	3	1	2	7	8	9	2	2	0	8	5	5	31	3	2	2	0	3	4	9	7	13	30	0	2	5	14	6	2	20	0	0	3	0	2	8	34	3	3	7	18	2	13	4	24	12	7	1	5	2	7	1	2	2	2	1	2	21	2	13	4	3	0	4	0	4	1	0	2	4	2	2	4	3	3	4	4	4	3	1	7	9	9	1	10	1	0	2	2	3	1	5	3	1	6	9	64	6	0	0	3	27	8	2	9	15	3	8	1	0	1	6	4	2	1	5	9	3	0	3	3	3	8	6	1	13	3	4	5	3	2	3	1	4	1	3	260	0	1	5	4	11	6	0	10	2	1	4	8	6	6	6	8	1	4	5	0	1	3	7	1	6	7	3	6	0	1	3	6	14	2	1	3	4	3	0	3	7	0	3	1	13	1	1	21	19	3	23	0	6	9	8	0	5	8	4	2	3	5	0	4	1	0	2	1	1	11	1	4	0	5	6	6	25	2	1	3	3	11	2	0	2	1	4	4	1	3	1	0	26	9	22	0	2	2	7	6	0	1	3	2	28	3	0	31	3	7	6	0	4	0	0	5	0	4	14	17	14	12	13	3	3	7	8	13	11	14	0	6	12	2	6
43 Folders	5	8	28	15	0	26	60	6	0	48	3	11	14	37	32	55	26	28	24	10	54	3	6	5	46	5	2	15	7	6	3	75	16	8	3	0	47	0	4	0	8	21	10	7	20	0	17	10	13	7	17	3	14	45	123	78	4	1	3	2	8	4	69	2	9	20	1	77	18	27	0	3	18	4	8	7	45	96	101	14	0	21	2	3	45	21	3	11	14	17	14	5	3	2	16	24	4	16	11	40	13	16	74	12	5	15	5	6	59	10	25	22	48	4	0	10	73	74	7	67	17	5	5	2	4	36	84	3	13	8	85	11	20	9	120	41	14	27	36	1	22	3	24	2	19	43	4	128	8	83	11	39	10	5	2	29	4	2	30	14	4	3	2	11	2	4	10	8	8	7	5	10	6	2	28	4	18	3	21	2	5	3	21	2	2	29	469	24	4	4	6	39	1	5	50	28	26	26	3	17	4	13	27	2	0	46	47	11	6	14	4	3	59	45	2	70	2	9	82	13	6	11	15	7	14	22	1	7	2	33	31	29	28	0	16	8	4	15	1	50	27	7	9	4	5	10	0	1	8	10	4	7	26	8	2	16	10	11	17	41	10	21	2	25	7	2	19	25	2	37	4	16	0	10	68	105	5	93	20	12	20	188	10	7	29	13	2	7	13	2	14	2	2	6	7	1	31	1	0	12	32	1	37	30	3	3	13	13	0	3	7	38	10	0	5	7	11	12	5	105	33	58	0	2	3	3	16	9	7	6	7	28	12	3	50	1	21	3	4	3	1	8	13	23	20	35	44	19	45	70	1	5	13	53	22	40	57	11	13	28	14	25
Autoblog	1	0	7	0	0	0	7	3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	3	3	0	0	0	8	0	4	0	0	3	2	0	6	0	0	0	0	5	12	5	2	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	43	0	0	0	2	8	14	0	0	0	0	0	10	3	0	0	0	0	3	2	3	0	0	0	1	3	39	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	3	0	1	0	0	1	0	2	0	4	0	1	42	0	0	1	0	1	0	0	0	0	0	0	0	4	1	0	6	1	4	1	1	1	0	0	0	0	0	1	0	0	0	0	4	0	4	3	0	0	0	4	2	0	0	1	0	1	7	6	0	0	0	0	3	0	0	0	0	0	0	1	0	3	0	0	5	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	5	2	0	3	0	0	0	0	1	0	0	7	0	0	156	0	0	0	0	8	3	0	1	0	5	1	0	3	1	0	0	0	0	0	0	0	0	1	0	0	2	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	4	0	0	4	39	3	1	0	1	0	1	0	0	0	1	0	0	3	0	3	3	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	1	0	0	1	0	8	0	0	0	1	0	0	0	0	0	3	0	3	8	0	0	1	0	12	4	0	0	0	0	40	1	2	3	0	0	0	3	13	0	0	0	1	0	0	0	0
Daily Kos	4	2	32	7	1	17	32	3	2	37	1	8	6	15	2	9	19	90	33	9	53	22	12	2	22	2	11	1	6	7	4	56	14	4	4	27	41	67	5	3	5	13	13	30	23	3	14	7	4	2	32	14	8	38	76	70	6	1	7	0	8	1	56	3	24	1	11	13	2	21	0	2	12	4	4	2	5	72	69	4	50	15	1	8	60	16	5	5	6	13	8	2	11	1	12	29	6	11	3	11	14	6	91	3	13	4	3	7	5	27	17	25	73	0	3	13	43	35	10	77	1	1	4	5	2	18	50	1	8	16	60	5	28	1	77	28	19	7	29	2	14	3	18	12	6	2	36	82	2	23	6	8	5	12	6	17	8	3	32	9	1	6	10	5	14	6	8	2	10	2	9	19	2	6	40	3	10	1	14	4	6	5	17	5	6	26	49	21	3	2	7	107	2	4	31	26	2	13	14	5	8	16	7	5	11	16	12	11	7	22	21	10	51	43	9	51	1	17	5	5	3	6	11	1	3	1	0	7	6	15	7	22	15	27	17	2	27	7	3	35	20	3	4	7	19	7	9	13	7	24	5	8	13	11	16	2	8	6	8	21	7	10	2	8	3	0	2	22	0	16	8	41	4	2	34	50	0	72	6	9	38	5	12	5	26	8	12	11	8	8	12	6	2	9	1	9	26	2	86	3	17	50	34	25	0	4	7	10	178	8	3	22	17	33	8	3	6	13	0	52	43	63	11	4	0	1	10	3	3	5	8	95	39	0	89	6	11	5	3	0	0	0	10	8	13	46	66	51	22	46	6	1	11	29	29	19	38	6	24	12	8	5
Google Blogoscoped	0	1	2	0	0	2	5	1	0	5	6	0	4	4	0	1	3	1	1	0	3	0	0	2	4	1	0	2	2	0	0	7	1	0	0	0	13	1	2	0	1	0	1	2	1	0	0	2	1	0	0	1	1	5	12	7	0	0	1	1	2	0	4	0	1	2	0	0	0	2	0	1	4	0	4	0	2	4	4	0	0	3	1	0	3	1	1	0	0	2	0	1	1	2	2	1	0	0	0	4	0	1	5	0	0	0	0	0	1	0	3	4	7	0	0	2	6	3	0	12	0	1	0	2	0	1	6	1	1	1	10	3	0	0	5	4	0	0	1	1	2	0	1	0	0	2	0	11	0	8	1	0	0	0	0	1	0	4	0	2	0	1	0	0	0	1	0	2	2	2	1	1	2	2	3	0	0	0	1	0	0	1	2	1	0	0	18	2	0	0	1	2	0	1	4	8	0	1	0	0	0	0	0	1	1	4	2	0	0	2	0	0	8	3	1	6	0	1	4	1	1	0	1	0	1	0	0	0	0	1	0	2	0	0	1	1	1	0	0	5	3	2	1	0	0	0	0	0	2	3	0	1	0	0	0	0	0	0	0	3	3	0	0	0	0	28	1	3	2	6	0	3	0	0	6	9	0	10	0	1	11	7	0	0	1	3	0	0	1	1	2	1	3	0	2	1	4	0	0	0	0	0	6	4	0	0	1	1	0	2	2	3	0	0	1	1	0	0	1	7	5	5	0	0	0	0	0	5	1	0	0	1	0	0	6	0	1	1	1	1	0	4	1	2	0	3	2	4	5	5	0	0	0	1	4	2	5	0	0	2	1	0
Deadspin	1	1	2	0	0	1	2	0	2	1	0	0	7	0	0	0	1	3	1	0	1	1	0	0	5	2	2	2	1	2	0	1	1	0	1	3	5	0	0	0	0	0	0	0	3	3	0	3	1	2	2	0	1	2	8	4	0	0	0	0	0	0	28	0	2	1	0	1	0	5	0	0	3	0	0	0	0	4	4	1	0	1	0	0	5	4	2	0	0	1	0	0	2	0	0	0	1	2	1	2	1	0	6	0	2	0	0	0	0	4	2	2	4	0	0	2	1	2	1	6	1	0	4	0	2	3	7	2	1	0	3	1	3	0	4	2	2	0	2	1	1	0	1	0	0	25	0	2	0	6	1	1	2	0	1	1	0	0	1	0	0	1	1	0	2	0	0	0	0	0	1	4	0	2	5	0	0	0	3	1	1	0	0	0	0	0	4	3	1	2	3	8	1	1	1	2	1	3	0	0	0	5	3	2	1	0	1	0	1	0	6	0	5	1	0	0	1	1	0	1	1	0	1	4	0	0	6	0	4	1	2	3	0	0	2	0	0	1	0	1	0	0	0	0	1	0	1	2	1	2	0	0	1	0	1	1	1	2	0	1	0	0	0	5	2	0	0	4	0	1	0	3	1	0	2	2	0	5	1	1	0	2	0	1	3	1	1	1	0	0	1	2	0	0	1	1	5	0	0	1	0	0	1	1	0	0	1	6	4	0	0	0	2	4	2	0	1	0	0	3	9	3	6	0	0	1	1	1	0	0	0	9	4	0	6	0	2	1	0	2	0	0	1	2	1	4	5	4	1	7	1	0	1	4	3	2	1	0	1	1	0	0
The Dish	0	0	2	0	4	1	6	0	0	2	0	1	0	2	1	3	4	8	0	3	5	2	0	0	6	1	0	7	0	0	0	6	11	3	2	1	10	0	2	0	0	1	1	2	0	1	0	4	7	0	1	0	2	9	21	8	1	0	1	0	3	0	7	0	0	1	1	0	0	0	0	0	0	0	0	0	1	11	12	0	0	1	0	0	7	3	2	0	0	0	0	0	1	0	1	1	1	3	3	3	0	1	5	1	0	1	1	1	3	2	7	0	8	0	2	2	9	3	0	18	1	0	0	4	0	0	10	0	0	1	4	1	2	1	6	2	3	0	4	0	3	1	5	0	1	9	1	15	0	12	0	0	0	2	0	1	0	2	0	0	0	0	0	0	2	0	1	2	0	1	3	0	0	1	1	0	1	0	3	1	0	1	0	0	0	1	38	1	0	0	1	3	0	1	4	2	0	2	0	0	0	1	2	1	1	4	1	0	1	4	1	1	2	2	0	4	0	1	11	2	0	0	1	1	1	2	0	2	0	1	1	4	2	0	1	0	0	1	0	2	2	1	2	0	1	0	3	1	0	1	0	4	0	0	2	1	0	2	3	5	2	0	0	2	0	0	2	3	1	3	0	9	0	2	0	9	0	10	2	1	1	17	1	3	3	0	0	0	0	0	1	1	1	0	0	2	6	0	0	0	3	0	6	5	0	0	0	1	0	0	1	1	0	0	0	0	1	2	6	3	3	6	1	0	0	3	1	1	0	3	2	11	0	1	7	4	6	0	0	0	0	0	0	0	3	4	3	7	2	5	4	0	3	5	2	6	1	0	1	2	0	3
Go Fug Yourself	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	12	0	1	0	0	2	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	1	1	0	1	0	10	0	0	0	0	1	0	1	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	3	5	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	0	0	1	0	0	2	0	0	3	0	1	2	0	0	0	0	1	0	2	13	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	3	0	0	4	0	0	0	11	0	0	0	0	0	0	1	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	1	1	0	0	1	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	10	0	2	0	1	0	0	0
O'Reilly Radar	10	0	0	1	0	0	0	1	0	3	0	0	0	0	0	1	1	4	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	2	0	1	0	0	0	2	1	0	1	0	0	0	1	1	0	2	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	7	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0	0	0	10	0	0	0	2	1	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	2	0	1	0	1	0	1	0	0	1	0	1	0	1	0
MetaFilter	0	0	1	1	1	2	4	0	1	2	0	0	1	1	6	3	1	9	2	2	2	0	0	1	3	0	0	5	0	3	0	6	3	1	0	0	7	1	0	2	0	1	0	1	4	0	1	1	7	2	4	0	0	13	15	6	0	2	2	1	3	0	6	0	1	0	2	2	0	2	0	0	3	3	1	0	2	10	13	1	0	3	0	2	3	0	2	0	7	1	2	2	1	0	1	5	3	0	0	2	4	0	9	1	1	0	0	0	4	0	4	5	5	2	0	3	6	2	0	3	0	1	0	1	0	1	5	1	2	1	7	2	4	2	15	8	2	0	3	1	1	1	3	0	8	0	5	6	0	4	1	0	0	0	0	3	0	0	0	1	0	1	2	1	0	4	0	0	1	0	0	3	1	6	4	0	0	0	1	0	0	1	1	4	0	1	16	4	0	2	1	6	2	0	0	11	0	0	0	0	1	1	2	1	1	1	4	0	1	0	0	0	1	6	0	9	1	0	4	0	1	0	3	1	1	0	0	1	0	2	5	2	2	0	1	0	2	1	2	4	1	2	0	1	1	0	0	0	2	1	0	1	0	0	2	1	0	2	0	3	1	1	0	0	2	0	1	4	2	3	1	3	0	1	12	6	0	15	0	1	1	2	0	0	2	0	1	0	1	0	2	1	0	0	3	0	6	4	0	0	2	0	3	3	0	0	0	2	0	0	3	1	0	0	1	2	1	0	1	11	4	6	0	2	0	1	2	1	3	3	0	6	1	2	7	0	2	0	1	0	0	6	0	2	4	1	3	8	6	6	0	2	0	9	9	3	3	1	3	2	1	1
ReadWrite	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	6	5	0	0	0	0	1	2	3	1	0	0	0	0	2	5	1	0	0	0	0	0	1	10	2	5	0	0	0	0	1	0	0	1	1	0	0	1	2	6	0	0	4	0	0	2	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	2	0	0	0	10	0	0	0	0	1	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	10	0	1	0	2	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	1	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	1	0	0	0	0	2	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	3	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	2	0	1	2	2	2	3	0	0	0	2	10	1	0	0	0	0	0	0	0
